gyset	gylfi
for	fra
havuhyre	havuhyret
forsvandt	forsvandte
lige	ligeså
så	
brat	brat
som	så
det	de
var	er
kommet	kommen

det	de
er	var
ikke	ganske
ganske	forkert
forkert	forkerte
at	anse
anse	anset
netop	ned
gunnar	gynnar
dyrberg	dyrberg
for	fra
en	
slags	
p	perchef
er	
chef	
for	fra
holger	holgerdanske
danske	dansk
en	
rolle	
han	hans
heller	heller
ikke	selv
selv	selvlagde
lagde	lagdes
afstand	afstanden
til	

måske	måsket
kan	ka
jeg	at
forklare	forklares
det	den
med	
en	
analogi	
til	thi
mit	min
kamera	kameraer
jeg	jer
bruger	bruger
aldrig	altid
som	objektiv
objektiv	objektivt
for	foruden
uden	
det	dét
er	har
jeg	
tvunget	tvungede
til	at
at	
gå	
tæt	tætte
på	
og	at
bevæge	bevæger
mig	meget
rundt	rundt

de	det
opgiver	opgir
andre	andres
adresser	adresser
man	men
bor	borer
her	hr

jakob	jakob
andersen	andersen
laver	lavede
artikler	artiklerne
ved	at
at	
interviewe	interviewer
mig	maa
om	og
min	mit
indtryk	indtrykt

du	de
var	er
pige	pigestemmer
stemmer	

da	the
barack	baracks
obama	obama
gik	giks
til	the
valg	
i	to
to	totusinde
tusinde	tusind
og	otte
otte	ottehed
hed	
det	der
i	hans
hans	
valgprogram	valgprograms
at	han
han	
stræbte	stræbtes
efter	eftersystem
et	
system	
at	a
vi	vicials
cias	
on	
to	tog
comment	comment
et	immigrant
immigrant	immigrante
har	hearth
en	in
god	godstanding
standing	standing
to	topay
pay	payfine
fin	fine
an	and
english	englysh
and	and
go	go
to	to
the	the
back	backs
of	of
the	the
line	line
for	fra
the	the
opportunity	opportunity
to	to
become	becomed
citizens	citizence

pons	ponts
restaurant	restauranter
stirrede	stigede
han	hende
på	hende
hende	henne
som	så
var	hun
hun	hunnemyg
en	myg
myg	myk
under	underhans
hans	han
sko	skoe
og	hun
hun	
havde	har
endda	lige
lige	ligegivet
givet	
ham	hammars
hans	han
penge	penger

jeg	det
vil	ville
gerne	have
have	ha
at	du
du	
tror	tro
på	mig
mig	
jeg	at jeg
ved	vil
godt	
at	du
du	
har	er
al	alt
mulig	
grund	grunde
til	thi
ikke	at
at	tro
tro	
på	mig
mig	

jeg	det
bruger	bruger
her	herordets
ordet	
ven	venner
i	
ordets	
videste	vidste
forstand	forstandsbekendt
bekendt	bekendte
af	er
et	ét
bedre	bedreord
ord	
men	mens
min	mine
far	
omgiver	omgir
sig	så
nu	nummed
med	
det	der
strindberg	strindberg
kalder	kalder
en	end
upersonlig	upersonligt
bekendtskabskreds	bekendtskabskreds

søg	søg
på	for
markerede	markerende
filer	filer
på	fra
drev	drevet
hå	h

mange	mangen
selskaber	selskaberne
er	blev
blevet	bleven
støvet	støvede
ude	ud
med	
det	dit
resultat	resultater
at	af
statskassen	stabskassen
er	blev
blevet	bleven
snydt	snyd
for	fra
uhyggeligt	uhyggelig
mange	mangepenge
penge	penger

se	see
her	hr
du	at du
kan	ka
tage	ta
min	mine
bog	boggo
go	godt
og	at
snitte	snitte
dem	den
til	

men	med
det	de
er	før
før	førset
set	
komma	
at	er
professionelle	professionelle
komma	komma
der	skal
skal	ska
have	ha
en	amatørmakker
amatør	amatørmakker
markeder	
komma	
ikke	ligefrem
ligefrem	ligefremt
er	er
over	overmotiverede
motiverede	
punktum	punktummer

og	aviserne
aviserne	aviserne
kommer	kom
ikke	med
med	mere

opret	opret
genvej	genvejet
som	og
markerede	markeret
program	programmer

åh	å
hun	hund
har	er
ikke	ekeord
ord	ordnok
nok	
aftenen	aftenen
er	af
ikke	
langt	lang
nok	

jeg	det
har	havde
passet	
den	dem
vel	vælg
og	at
har	haft
ofte	
haft	haft
den	dens
tanke	tanker
at	vore
vore	
aner	anerdækker
dækker	dækkede
over	overhemmeligheder
hemmeligheder	hemmelighederne
som	så
det	de
var	bedst
bedst	bedste
at	og
få	fortie
tie	tier
for	fra
eftertiden	eftertiden

nej	ej
det	de
er	ingen
ingen	
skyld	skyldt

afsendt	afsend
de	det
første	tre
tre	tres
breve	brever

hvorfor	hvorfra
sender	sende
noget	nogen
til	the
reparation	reparationen
der	da
slet	ikke
ikke	
er	har
gået	
i	stykker
stykker	

skulle	skal
man	han
blive	blivet
med	medad
af	ad
den	det
påtrængende	påtrængendes
virksom	virksomme
i	
nutid	
kan	ka
man	manden
oppe	oppepå
på	
sin	sine
udkigspost	udkigspostvende
vende	vendes
sig	
mod	imod
øst	østen

det	de
har	er
malene	malerne
uden	udentvivl
tvivl	tvivlen
også	osse
gjort	gjorde
dig	der
lysende	lysene
klart	klar
og	at
vi	i
kan	ka
kun	kunne
erklære	erklæres
os	også
hundrede	hundredeprocent
procent	
enige	enig
end	endnu
uha	uhar
det	
er	en
en	
stor	storsag
sag	sagarne
arne	
det	der
er	en
en	
meget	
stor	storsag
sag	sagarne
at	og
slås	slog
med	men

de	det
bliver	blir
typisk	typiskindlagt
indlagt	indlagte
og	at
får	få
midlertidig	midlertidige
elektroder	elektroderindsat
indsat	indsatte
forskellige	forskellig
steder	stedere
i	hjernen
hjernen	
for	fra
at	
afgrænse	afgrænses
de	det
syge	sygeområde
område	
og	
så	sågår
går	
de	det
ellers	så ellers
rundt	rundt
og	at
venter	vente
på	at
at	nogen
nogle	nogen
anfald	anfalde
skal	ska
afsløre	afsløres
sig	forlægerne
for	fra
lægerne	lægerne

der	det
skal	ska
også	osse
være	været
tid	til
til	til
sneboldkamp	sneboldkampe
hule	
bygning	
indendørs	hulebygning
lege	indendørslege
og	indendørslege
spil	spille

ret	retten
moral	moraler
og	
konvention	konventioner
er	
kun	kunne
prismer	prisme
igennem	gennem
hvilke	hvilket
den	denne
etiske	etiske
fordring	fordring
brydes	brydes
så	såretten
retten	retten
moralen	moralen
og	om
konventionen	konventionen
så	såvel
vel	
kan	
være	været
vejledende	vejledende
som	så
vildledende	vildledende

men	med
det	de
var	hvad
hvad	hva
hun	
var	har
et	fjols
fjols	fjolsens
en	
synde	syndebuk
buk	
en	
brik	brik
i	et
et	
spil	spil

så	sig
man	men
op	
kunne	ku
man	men
se	
sejlene	sejlenes
så	som
mørke	mørkevinger
vinger	
drejende	drejende
og	slingrende
slingrende	slingrende
mod	modtusinde
tusinde	tusind
stjerner	stjerner

fire	fireogtres
nul	nulto
to	toto
to	
seks	seksoghalvtreds
og	
halvtreds	
et	
hundrede	
og	
fjorten	fireogfirs

og	at
får	forfra
fra	frk

først	første
da	der
jeg	
når	noger
op	oppe
til	
halsen	haltsen
begynder	begynder
det	de
at	af
kilde	kildet
og	
lo	lolo
lo	
ryger	ryge
op	oppe

kan	ka
man	han
sige	sir
at	du
du	
med	men
mig	
er	nåede
nået	nåede
til	tilende
ende	endepunktet
punktet	

julia	julia
havde	have
været	hjemme
hjemme	hjemmefra
fra	
sin	sine
rejse	rejser
i	mere
mere	
end	ti
ti	tidage
dage	dage
og	havde
havde	have
ikke	sagt
sagt	sagte
meget	
om	den
den	dem
ikke	ikkeandet
andet	andete
end	en
et	ét
par	paradis
s	
messer	
om	og
at	turen
turen	turen
gik	gikke
godt	god
og	at
at	hun
hun	
var	hjemme
hjemme	hjemmet
og	havde
havde	have
travlt	travlt
travlt	travl
travlt	travl

og	om
det	de
var	da
da	der
ikke	
noget	nogen
særligt	særlig
konstaterer	konstaterede
han	hans
og	at
skuler	skuler
ud	ude
over	overstranden
stranden	strandene

kopier	kopiér
effekter	effekter
og	gem
gem	gem
i	
udklip	udklipsholder
holder	

men	med
jeg	jer
ved	vil
kraft	kraftknuseme
knuse	
me	
ikke	
hvad	hva
det	de
er	jeg
jeg	
vil	ville
have	ha

fotografen	fotografene
siger	sir
så	sådan
og	virker
virker	virkede
meget	naturligt
naturligt	naturlig
at	han
han	
har	havde
set	
denne	den
mand	
i	et
et	
udenlandsk	udenlandskugeblad
ugeblad	ugeblad
og	at
tilføjer	tilføjet
at	han
han	
må	være
være	vær
lidt	kendt
kendt	kend

røde	rødet
i	kammen
kammen	
af	
iver	iver
sidder	sidder
de	det
med	
tungen	tungen
ud	udad
af	ad
halsen	haltsen
og	sætter
sætter	sætter
breve	breven
sammen	samme
til	
avis	avisredaktionerne
redaktionerne	
ledsaget	
af	er
digte	digtere
og	
tegninger	tegningerne
en	end
mas	

vi	i
skal	ska
kæmpe	kæmpes
imod	mod
finansmarkedet	finansmarkedets
indflydelse	indflydelser

hvor	hvornår
nedrig	nedrigt
udbrød	udbrød
jeg	jer

med	men
skødet	skødet
ned	nedkrammet
krammet	
i	håndfladen
håndfladen	håndfladen
lytter	lyttede
hun	hunter
til	thi
ham	hr

så	sir
du	det
ikke	du
hvordan	hvornår
hun	hundløftede
løftede	løftedes
støvskyer	støvskyen
med	
hans	han
sjæl	sjæle
op	oppe
i	
luften	luften

hver	vejr
gang	
musikken	musikkens
sætter	sætteri
i	ib
benytter	
hun	
lejligheden	lejlighed
og	at
snuser	snuser
ordentligt	ordentlig
op	oppe
men	
i	pauserne
pauserne	pauserne
lider	lirrer
hun	hund
alle	allehelvedes
helvedes	helvedeskvaler
kvaler	kvaler
og	sidder
sidder	sidde
som	så
på	pånåle
nåle	nålen
for	fra
at	
komme	kommet
af	afsted
sted	

han	hans
læste	læstes
ager	arr
det	
i	
bilic	billiardbogen
bogen	
om	
legender	legender

når	nord
det	de
gælder	gælders
sundhed	sundheder
og	om
miljø	miljøer
er	af
ulemper	ulempere
og	at
fordele	fordeler
ved	vil
de	
udendørs	udendørssystemer
systemer	
ikke	ikkefuldt
fuldt	fuld
klar	klaragt
agt	

tyskerne	tyskere
er	ikke
ikke	de
de	det
eneste	ændres
som	så
er	har
undersøgt	undersøgte
sagen	sagnet
og	
i	to
to	
tusinde	tusind
og	
fjorten	fjorten
konkluderer	konkludere
en	én
metaanalyse	metaanalyser
af	at
ni	nistudier
studier	
i	in
skizofreni	skizofrenia
a	
research	
at	af
de	det
forskellige	forskelliges
data	datasæt
sæt	
pålideligt	pålidelig
peger	peger
i	samme
samme	
retning	retning

til	thi
sidst	sidste
stykke	stykkede
jeg	jer
beretningen	beretningens
sammen	samme
på	
det	dette
latin	latine
jeg	
huskede	huskedes
fra	for
mine	min
studier	studier

hvilket	hvilke
igen	fik
fik	fiktive
den	dens
hvide	vide
befolkning	befolkning
til	at
at	
retfærdiggøre	retfærdiggøres
udstødelse	udstødelsen
af	ad
den	dens
sorte	sortebefolkning
befolkning	befolkning

han	hun
startede	startedes
hver	vejr
dag	
på	et
et	nyt
nyt	
ark	arkforoven
for	foroven
oven	
og	
lod	lo
det	den
nederste	nederst
af	at
siden	
stå	ståe
blankt	blank
efter	eftersidste
sidste	
punktum	

når	nå
man	han
lærer	lære
at	og
spille	spilleklaver
klaver	klavere
komma	komma
spiller	spilder
man	han
ikke	kun
kun	kunne
stykker	stykke
i	stigende
stigende	stien
svær	sværgrad
grad	
punktum	punktum

for	fra
fint	fil

alle	aller
er	på
på	for
facebook	facebooken
og	at
alle	alleville
vil	ville
have	ha
en	iphone
iphone	iphone
men	
derud	derudover
over	
jeg	er
er	ikke
ikke	
profet	profetjeg
jeg	jer
er	historiker
historiker	historikere
så	som
jeg	kan
kan	ka
ikke	svare
svare	svarer
på	mine
mine	min
egne	egentlige
spørgsmål	spørgsmåle
men	mens
jeg	
vil	ville
gå	så
så	sålangt
langt	langtsom
som	
til	at
at	og
sige	
at	jeg
jeg	
håber	håbede
at	vi
vi	
som	
amerikanere	amerikaneren
igen	vil
vil	ville
investere	investeres
økonomisk	økonomiske
og	
kulturelt	kulturel
i	den
den	
narrativ	narrative
i	
det	
fællesskab	fællesskab
der	derindtil
indtil	
for	får
nylig	
på	
trods	
af	
alle	
dets	
mangler	
udgjorde	
et	
hovedspor	
var	
et	
samlingspunkt	
for	
os	
vidt	
forskellige	
amerikanere	

åben	åbn
grafik	grafikt
og	og
vel	vælg
effekter	

det	de
kunne	ku
helt	bogstaveligt
bogstaveligt	bogstavelig
vise	vises
sig	at
at	og
være	
guld	guldvejr
vejr	

han	hun
har	er
kongeligt	kongelig
blod	blodet
i	sine
sine	sin
åre	årer
og	at
det	de
frisk	friskfrafad
fra	frafad
fad	fader
ved	
du	
hvem	hvemhan
han	
er	har

jeg	jer
ser	siger
ind	inde
i	
øjnene	øjnene
på	paa
den	dens
femårige	femåriges
i	email
mel	
og	
spekulerer	spekulere
på	pomme
om	
det	de
overhovedet	overhoved
giver	gir
nogen	nogen
mening	meninger
for	fra
ham	hr

og	osse
så	sig
glemmer	glemmede
jeg	jer
mormors	mormorshånd
hånd	håndtre
tre	tregange
gange	gang
som	så
betyder	betyder
a	as
s	
i	
du	dug

det	de
er	mit
mit	min
sidste	sidst
spinkle	spinkleforsøg
forsøg	
på	at
at	aftvingetaigaen
aftvinge	aftvinget
taiga	tajgaen
en	
et	
liv	
før	fordi
den	dem
tager	tar
vores	vor

jeg	det
graver	graver
videre	videre
og	afdækker
afdækker	afdækker
en	hoftes
hofte	hofteskål
skål	

jeg	det
gav	gave
mig	meget
ikke	tid
tid	tiden
til	at
at	
svare	svarede
hende	henne
men	mens
løb	løbe
bare	bar
over	ovre
i	
smedjen	smedjene
hvor	hvoraf
keld	kelt
sad	sagde
og	
pudsede	pudsede
på	noget
noget	nogen
småt	småtte
og	mørkt
mørkt	mørk

gysende	gysene
beste	besteg
vi	vive
ved	ved
nattetide	nattetidens
inskriptionerne	inskriptionernes
tempel	
og	om
den	dens
gamle	gammale
maya	maya
våndede	våndede
sig	så
dybt	dyp
i	sin
sin	
grav	grave
under	underpyramiden
pyramiden	pyramiden

afslut	afslut
dokumentet	dokument
med	ved
adresse	adresser
og	af
side	sidefod
fod	

det	dét
siger	sir
du	det
ikke	
sagde	sagte
flint	flynn
og	at
bankede	bankede
to	tog
gange	
på	siden
siden	
af	ad
døren	
for	fra
hel	helt
og	
lykke	lykket

og	om
de	det
var	varer
ikke	alle
alle	allefinnegårdene
finde	finnegårdene
gårdene	
der	da
var	er
så	små
små	småt

hvis	vi
vi	i
sprøjtede	sprøjtedes
kogende	kogende
vand	vande
ud	udomkring
omkring	
os	også
ville	vil
is	isvæggene
væggene	
ikke	
kunne	kunnet
fryse	frøse
til	tiligen
igen	

afbryde	afbryd
dette	det
program	programmer
og	og
gå	gå
til	tilnæste
næste	næsten

en	én
af	mine
mine	min
bekendte	bekendtes
fotografen	fotograferne
martin	martine
adler	adler
blev	bliver
skudt	skuet
i	somalia
somalia	somalia
af	al
al	alshabaab
shabab	
under	under
en	demonstration
demonstration	demonstration

han	hun
rammer	rammer
den	dem
i	skulderen
skulderen	skulderen
og	den
den	dem
fortsætter	forsætter
ufortrøden	ufortrødent

han	hun
begyndte	begyndt
at	lave
lave	lavet
luft	luftnumre
numre	
da	der
han	
var	har
otte	otteår
år	

kog	kogt
ned	nede
er	af
der	det
imidlertid	imidlertid
kun	tre
tre	tres
kandidater	kandidater
der	da
slås	slog
om	om
de	to
to	
pladser	pladser
i	filen
fien	filen

i	idet
den	dén
begyndelse	begyndelsestilstand
stilstand	
som	
hawking	hawking
og	om
nogle	nogen
af	hans
hans	
medarbejdere	medarbejder
beskæftiger	beskæftige
sig	så
med	melaver
laver	lavert
de	
et	
trick	
i	trick
deres	dets
beregninger	beregninger

haus	haus
blev	bliver
skrevet	skreven
af	asenere
senere	senere
i	en
en	
køre	kører
uden	
halv	halvblanke
blanke	
sider	
og	uden
uden	
den	dens
sidste	sidst
retsag	retsag

han	hun
var	har
simpelt	simpelthen
hen	
sat	
på	paa
jorden	jordene
for	fra
at	og
gøre	gøres
det	dét
han	hangjorde
gjorde	gjort
også	osse
selv	selvom
om	
verden	værten
måske	ikke
ikke	var
var	er
klar	klart
til	thi
det	dét

hvis	vil
den	det
rest	reste
alligevel	alligevelt
trække	trækkede
ud	ude

strategien	strategierne
førte	føres
til	thi
en	
systematisk	systematiske
under	undervurdering
vurdering	
af	ad
deres	dets
muligheder	mulighed
punktum	punktum

kirkeskat	kirkeskattet
ligger	lægger
markant	markant
under	underniveauet
niveauet	niveauet
under	under
den	dens
konservative	konservatives
statsminister	statsministerpoul
poul	poul
lytter	lytter
hvor	hvoraf
danskerne	danskere
kunne	kunnet
risikere	risikeres
at	og
betale	betaler
otte	otteogtres
og	
tres	
kommer	komma
syv	syvprocent
procent	
i	skat
skat	skattet
af	
den	dens
sidst	sidsttjente
tjente	
krone	kr
så	som
er	det
det	de
blevet	bleven
pligt	pligtstof
stof	
for	
politikere	politikeren
fra	for
de	det
konservative	konservatives
venstre	venstres
og	
liberal	liberalalliance
alliance	
af	at
tordne	tordner
mod	modskattetrykket
skattetrykket	skattetrykket

det	der
er	her
her	
odysseus	odysseus
kommer	komme
hjem	hjemfra
fra	for
sin	sine
lange	langerejse
rejse	
og	opdager
opdager	opdage
at	han
han	
bliver	blir
nødt	nødt
til	at
at	og
besejre	besejrer
de	det
onde	ondebejlere
bejlere	bejdere
der	da
har	belejrer
belejret	belejrede
hans	han
kone	konepenelope
penelope	peneloppen
som	så
har	er
ventet	ventet
frem	frempå
på	
ham	han
i	tyve
tyve	
år	årig

et	ét
sted	
hvor	hvoraf
denne	den
tendens	tendens
kan	
aflæses	aflæses
er	af
ved	
de	det
seneste	senestes
valg	valg
her	herhjemme
hjemme	
i	danmark
danmark	denmark
hvor	hvordan
der	det
har	er
været	
overraskende	overraskendes
store	storeudsving
udsving	udsvinge
i	valgtilslutningen
valg	valgtilslutningen
tilslutningen	
fra	for
dansk	danskfolkepartis
folkepartis	folkepartistriumf
triumf	
som	så
det	dets
største	størstes
parti	partie
ved	var
europa	europaparlamentsvalget
parlamentsvalget	parlamentsvalgede
til	tager
alternativets	alternativets
overraskende	overraskendes
succes	success

arbejdet	arbejde
med	men
pusher	pusherstreet
street	
havde	har
uden	udentvivl
tvivl	tvivlkunnet
kunnet	kunnet
af	afsæde
sæde	
komme	
masser	
af	at
skrive	skriverus
rus	
og	
det	de
kunne	ku
dårligt	dårlig
være	været
resulteret	resulterede
i	en
en	
kedsommelig	kedsommeligt
og	uvæsentlig
uvæsentlig	uvæsentligt
boge	bog

det	de
er	ham
ham	han
i	den
den	
blå	blåsweater
sweater	sweateri
ikke	

jeg	de
vaklede	vakledes
over	ovre
til	
manometer	manometeret
og	
så	sig
at	vi
vi	
kun	
var	hvor
seks	seksmeter
meter	meter
fra	for
overfladen	overfladene

det	de
er	er
et	af
ag	a

bagefter	bager
må	mon
vi	i
økologi	økologier
ser	
landbruget	landbruget

ligesom	lisom
til	thi
band	bandaften
aften	

men	med
måske	måsket
er	det
det	de
bare	bar
fordi	for
hun	
tænker	tænke
på	paa
stakkels	stakkelslort
lort	
i	
kassen	

selv	selvet
kalder	kalder
han	hans
det	der
i	en
en	
slags	
fortale	fortalet
til	
udgiver	udgiveren
en	
en	
frugt	
af	er
ubevidste	ubevidstes
følelser	følelsers
skabt	skabte
i	isolation
isolation	isolationer
og	om
barberi	barberier

jeg	jer
satte	satte
mig	med
forsøgte	forsøgt
at	fange
fange	fangen
hans	han
blik	blike
men	mens
han	
ville	vil
ikke	se
se	see
på	mig
mig	man
han	hans
sagde	sagte
at	han
han	
var	klar
klar	klart
til	at
at	
genoptage	genoptages
sine	sin
pligter	pligtere
som	så
kongelig	kongeligt
kusk	kuske
og	
at	vi
vi	
kunne	ku
tage	ta
af	afsted
sted	
så	såsnart
snart	
han	han
havde	har
spist	spist
færdig	færdigt

københavnerne	københavnerne
kommer	kom
hele	helevejen
vejen	vejene
hen	hentil
til	
mig	man
med	
lange	langes
skridt	skridte

danskerne	danskere
er	førende
førende	førender
i	skandinavien
skandinavien	skandinavien
og	om
i	europa
europa	
i	idet
det	
hele	
taget	tajgaet
når	nord
det	de
handler	handlede
om	at
at	
diskutere	diskuterer
årsagerne	årsagernes
til	the
ekstremisme	ekstremismen
og	at
de	den
er	er
en	
nøgle	nøglepartner
partner	
i	
bekæmpelse	bekæmpelsen
af	ad
terrortruslen	terrortruslen

herfra	herrer
kan	ka
jeg	kun
kun	kunne
se	see
deres	deres
kaki	kakifarvede
farvede	
bukser	

men	man
ikke	ikkeså
så	såsnart
snart	
var	hvor
de	det
er	kommet
kommet	
ud	ude
af	ad
svæve	svævet
før	fører
der	det
blev	bliver
banket	bankede
på	paa
døren	dørene

god	go
foto	fotojournalistik
journalistik	
skal	ska
ikke	give
give	gi
svar	svare
men	
stille	stilles
spørgsmål	spørgsmål

når	nårh
man	han
ser	
på	paa
hotellet	hotellets
sydfra	sydfrastår
står	stå
det	de
alene	alene
op	oppe
mod	imod
den	det
blå	blåhimmel
himmel	himmelkodet
og	af
kodet	koder
ind	inde
i	det
det	dets
kompromisløse	kompromisløses
gitter	gitterværk
værk	
synes	syns
der	da
at	være
være	
et	budskab
budskab	
som	så
er	stort
stort	stor
set	
lige	ligeså
så	
mystisk	mystiske
som	så
det	dét
vi	vistadig
stadig	stadigt
mangler	manglerer
at	og
dechifrere	dechifreres
i	stonehenge
stonehenge	stonehengen

i	imellem
modsat	mossads
fald	
vil	ville
den	det
være	været
en	én
af	ad
nære	nærere
oplevelser	
der	da
nok	er
er	
og	
forbliver	forbliver
fjernet	fjernede

for	fra
man	han
erhverver	erhvervede
sig	så
måske	
nok	nokherredømme
herredømme	herredømmen
over	overnaturen
naturen	
her	herunder
under	
den	dens
menneskelige	menneskeliges
natur	nature
men	man
ved	vil
ikke	
længere	
hvad	hva
der	det
er	har
grund	
til	at
at	
gøre	gøres
med	men
sit	
herredømme	herredømmer
for	får
man	
mister	miste
sansen	sansene
for	fra
hvilke	hvilket
værdier	værdier
der	da
skal	ska
vejlede	vejle
ens	éns
handlinger	handling

toges	toogtres
tusind	tusinde
fire	firehundrede
hundrede	
og	
treogtredive	toogtredive

og	om
for	forresten
resten	
sagde	sagte
hun	hund
hvordan	hvornår
går	gå
det	de
med	
eksamen	eksamenen

hvis	vi
franz	franz
ikke	
havde	har
skreget	skreget
hvis	vist
så	det
det	de
måtte	må
have	ha
gjort	
meget	ondt
ondt	ond
men	med
i	et
et	
afgørende	afgørende
øjeblik	øjeblik
skal	ska
man	han
kunne	kunnet
beherske	beherskes
sig	så
hvis	vil
han	hans
ikke	havde
havde	har
skreget	skreget
så	som
ville	villet
k	keira
i	
det	
mindste	mindst
var	varer
det	de
meget	sandsynligt
sandsynligt	sandsynlig
have	ha
fundet	fundet
et	andet
andet	
middel	midlertil
til	at
at	overtale
overtale	overtalet
prygle	pryglet

du	de
får	for
det	der
til	at
at	og
lyde	lyde
som	somom
om	
jeg	det
var	er
kød	kødt
på	paa
en	én
vægt	vægte
og	at
at	der
der	
skal	ska
både	bo
mig	max
og	af
keld	kelt
til	at
at	opveje
opveje	opvejes
skarv	skarpen

man	han
sidder	sidde
i	samme
samme	
bil	bilspiser
spiser	spise
samme	sammen
middag	middagsfejer
fejer	feje
samme	sammen
hjul	hjul

en	én
vis	visnarcissisme
narcissisme	
er	af
nok	et
et	ét
grundvilkår	grundvilkårigt
i	det
det	
moderne	morende
liv	
men	med
for	fra
mange	
kommer	kom
det	de
desværre	desserte
over	ovre

det	de
samme	sammengælder
gælder	gældervåben
våben	våbenskjoldet
skjoldet	
over	over
dørkarmen	dørkarmene

undersøg	undersøg
hard	harddisk
disk	
for	fra
virus	

klæg	clay
bøjede	bøjede
sig	så
ned	med
med	medknyttede
knyttede	knyttet
næver	nævere
og	at
vreden	vreden
strålede	strålede
ud	ude
fra	
ham	hans
i	
bølger	bølgen

sagde	sagte
en	et
kannibal	kannibalhøvding
høvding	
til	
en	
rejsende	rejsen
tidligt	tidligt
i	dette
dette	
århundrede	århundreder

jeg	det
forsøgte	forsøgtes
at	få
få	
fat	fattig
i	
hendes	
hale	haler
men	mens
hun	
var	har
allerede	allerende
hende	henne
ved	ved
døren	døren

hun	han
måtte	må
lede	le
alene	alle
indtil	inden
hun	hun
fik	fiktiv
hjælp	hjælpet
fra	for
nabo	nabotorben
torben	thorben
fem	
kilometer	kilometervæk
væk	
og	at
flere	fleretopper
topper	toppere
i	seks
seks	seksdage
dage	
gik	gik
de	det
i	en
en	
søge	søgekæde
kæde	
og	at
lete	lette

de	det
to	tog
andre	
står	står
pænt	pæn
i	kø
kø	køp
på	
sengen	sengene
i	imens
mens	
punktum	

det	dét
overvejer	overvejede
jeg	jer
ofte	ofte
når	at
jeg	
med	men
min	mine
lette	letteflyskræk
fly	flyskræk
skræk	
sidder	
i	et
et	
fly	flyder
der	da
rystes	rystes
lidt	let
af	atopolens
to	topolens
polens	
hvis	visne
nu	nuflyet
flyet	
pludselig	pludseligt
styrter	styrer
mod	imod
jorden	jordene
og	det
det	de
er	tydeligt
tydeligt	tydelig
at	der
der	det
kun	kunne
er	få
få	for
minutter	minutter
tilbage	tilbaget
at	og
leve	levet
i	
vil	ville
jeg	at jeg
så	kunne
kunne	kunnet
tilbringe	tilbringet
den	dens
sidste	sidst
tid	
med	men
en	én
vis	visværdighed
værdighed	
eller	at
ved	vil
at	
råbe	råber
og	at
skrige	skriger

slippe	slippe
vad	vade

da	der
han	hander
der	dér
i	nittenhundrede
nitten	nittenhundrede
hundrede	
syv	
og	
halvfems	syvoghalvfems
en	én
af	
de	det
sidste	sidst
februar	februarnætter
nætter	
havde	have
fået	forladt
sine	sin
synder	syndere
forladt	
og	at
var	flyttet
flyttet	flyttede
hertil	hertil
kom	kommer
han	hans
ifølge	ifølgende
malene	malerne
nogen	nogentid
tid	
i	vores
vores	
kirke	kirke
men	med
så	sig
var	varer
den	det
ikke	længere
længere	længe
nok	for
for	fra
ham	

skal	ska
processen	processen
ud	ude
af	ad
blindgyde	blindgyden
kræves	kræves
utvivlsom	utvivlsomt
nye	ny
komma	kommapositive
positive	
satsninger	satsninger
punktum	punktum

når	når
jeg	tænkte
tænkte	tænkt
tilbage	tilbagehang
hang	han
de	det
andre	andres
tilfælde	tilfælder
også	osse
sammen	samment
med	
sovemedicin	sovemediciner
og	alkohol
alkohol	alkoholer
og	
fra	fraderaf
der	deraf
af	
holdt	
jeg	jer
op	oppe
med	at
at	og
bruge	bruges
sovemedicin	sovemedicinen
som	så
jeg	jer
af	at
og	
til	tiltog
tog	
når	
jeg	
bare	skulle
skulle	sku
sove	sovet
forud	forude
for	fra
en	én
premiere	premierer
eller	at
skulle	sku
tidligt	tidlig
op	oppe
til	
en	filmoptagelse
filmoptagelse	filmoptagelse

man	han
kunne	ku
godt	se
se	sige
at	will
will	will
havde	hadede
ret	rettet

vrede	vrede
irritation	irritationer
og	
frustration	frustrationssmeltet
smeltet	smeltede
sammen	samme
til	
en	cocktail
cocktail	cocktailafhede
af	
hede	hedder
og	
raseri	raserier
og	om
hun	
greb	greg
fat	fattig
i	
kraven	kragen
på	for
ham	hr

den	denne
aften	aftenvi
vi	ankom
ankom	ankomme
til	the
vinkort	vinkovci
fandt	fandte
vi	i
hurtigt	hurtig
ned	nede
i	
hotellets	hotellet
smadrede	smadret
bar	bare
i	
kælderen	kælderen

en	én
juri	jury
skal	ska
afgøre	afgøres
hvem	hvemme
der	det
har	er
leveret	leverede
aftenens	aftenens
bedste	bedsteindslag
indslag	

det	de
er	tit
tit	til
det	de
samme	
der	da
vinder	vinder
spil	spilet
efter	efterspil
spil	spillet

der	det
var	er
grus	gruss
og	
småsten	småstene
i	
slugten	slugtene
ved	ved
ålands	ålandsdalen
dalen	
men	mens
det	de
var	så
så	sålangt
langt	langtfra
fra	
pynten	pynten
hvor	vi
vi	i
sad	sagde
at	vi
vi	
på	ingen
ingen	ingenmåde
måde	måder
burde	burdet
kunne	kunnet
høre	hører
hvis	vist
der	det
